Customer_care_calls,Customer_rating,Prior_purchases,Discount_offered,Weight_in_gms,Warehouse_block,Mode_of_Shipment,Product_importance,Gender,Class
2,1,3,1,4391,f,ship,high,m,0
3,1,10,4,4496,c,ship,low,f,1
4,5,3,2,5439,c,ship,medium,f,1
3,5,8,9,4733,c,ship,medium,f,1
3,5,3,61,1473,a,ship,low,m,1
6,3,5,1,1271,a,ship,medium,f,0
3,1,2,52,2312,f,road,high,m,1
4,5,3,4,5180,a,flight,medium,m,1
4,1,5,6,1027,b,ship,medium,m,0
4,1,2,10,4653,c,ship,low,m,1
3,4,4,9,5301,a,road,medium,f,0
3,4,3,60,2980,c,flight,low,f,1
6,4,4,7,1969,d,ship,low,m,0
3,3,2,26,1659,f,ship,low,f,1
3,5,3,6,4172,a,ship,low,f,1
5,2,2,10,4938,f,ship,low,f,0
4,5,3,38,3031,d,ship,low,m,1
3,4,2,2,4219,a,ship,medium,m,1
5,5,3,4,4534,f,ship,low,m,0
2,5,6,41,1772,c,ship,medium,f,1
4,3,4,1,4984,b,flight,medium,m,1
7,3,4,3,1296,f,road,medium,m,0
4,2,5,17,3630,f,ship,medium,f,1
3,2,4,18,2699,a,ship,low,f,1
3,4,2,1,3398,b,road,medium,f,1
3,2,3,38,2108,b,road,medium,m,1
4,1,2,10,5085,a,ship,low,m,1
4,4,6,6,5451,b,ship,low,m,1
3,5,3,3,5540,f,ship,low,f,0
4,2,2,5,5608,c,ship,low,f,1
6,1,7,7,2338,d,ship,medium,f,1
4,1,3,1,5677,d,ship,low,f,0
7,2,5,9,1327,f,flight,medium,m,0
3,5,3,2,5841,d,flight,low,m,0
5,4,4,8,5284,f,ship,high,f,1
5,4,5,8,1549,f,flight,low,f,0
5,2,5,5,4805,f,ship,medium,f,0
3,3,3,9,5852,b,ship,medium,m,0
6,2,4,7,4589,c,road,medium,f,0
3,4,3,4,4756,f,road,high,m,1
4,2,3,3,5488,b,ship,low,f,1
4,2,3,6,5826,f,ship,low,f,0
2,3,3,55,3842,a,ship,medium,f,1
3,2,3,6,4778,f,ship,low,m,1
4,3,3,8,5944,f,ship,low,m,0
5,5,2,10,5564,d,ship,low,m,0
3,5,3,23,3750,a,flight,low,m,1
3,5,2,6,5289,f,ship,low,f,0
6,1,4,5,1867,d,ship,low,m,0
6,2,4,10,1983,f,ship,medium,f,1
3,5,6,22,2717,c,flight,medium,m,1
3,4,3,5,5915,b,road,medium,f,0
4,2,3,48,1193,a,flight,low,f,1
5,1,5,2,1950,d,ship,low,f,1
4,2,2,28,2815,d,flight,low,f,1
4,3,5,2,1482,f,ship,medium,m,0
4,3,3,15,1008,d,ship,low,f,1
4,1,2,10,4086,b,flight,low,m,0
5,2,2,6,4819,f,flight,medium,f,1
4,4,3,2,5975,f,ship,low,m,1
4,2,2,8,4460,f,flight,low,f,0
3,2,3,1,5398,f,ship,high,f,0
3,2,3,5,5781,f,ship,high,f,1
5,3,3,6,5064,d,road,medium,f,1
4,3,3,6,5657,f,ship,medium,f,1
6,1,4,2,1131,d,flight,medium,f,0
4,4,3,7,4106,a,ship,low,f,1
4,1,3,4,4972,f,flight,medium,f,1
5,4,10,34,2960,b,ship,medium,f,1
5,4,3,6,5721,f,ship,medium,f,0
5,3,6,1,5874,f,ship,medium,f,0
6,4,4,9,1108,f,ship,medium,f,1
5,3,3,5,5663,a,ship,medium,f,0
5,5,5,6,1887,f,ship,low,m,1
5,1,5,2,1323,a,ship,high,f,0
4,1,3,7,4808,f,ship,low,f,1
2,3,4,7,5510,a,ship,medium,m,0
6,4,4,9,1104,c,ship,low,m,0
3,3,3,24,1139,b,road,low,f,1
4,3,2,47,3606,f,ship,medium,f,1
4,2,3,10,5354,a,ship,medium,f,0
6,5,4,6,1066,f,ship,low,m,0
4,1,4,2,4543,f,ship,medium,f,0
3,4,3,10,2728,d,road,low,f,1
3,1,3,4,2304,c,ship,low,m,1
3,2,3,1,4308,b,ship,low,m,1
3,2,2,10,5401,b,road,low,m,0
3,2,2,4,1009,c,ship,high,f,1
4,2,4,10,5528,a,ship,low,f,1
5,3,2,3,4474,a,ship,low,m,1
3,1,2,5,4884,a,road,low,f,0
5,5,6,1,1384,c,ship,low,m,0
5,1,3,12,1775,d,ship,high,f,1
4,1,2,47,1540,a,road,low,f,1
3,3,4,7,1869,c,ship,low,m,1
4,4,3,59,2868,b,road,medium,m,1
4,5,4,10,1694,f,ship,low,m,1
6,4,4,4,1973,c,ship,low,m,0
2,5,3,3,4253,c,ship,medium,f,1
4,4,7,9,5418,f,ship,medium,m,0
3,4,4,11,3030,b,ship,low,m,1
2,2,3,61,1800,a,road,low,f,1
3,3,3,23,3764,d,ship,medium,m,1
3,3,6,45,1602,c,road,low,m,1
6,1,5,3,1434,c,flight,low,f,0
3,3,2,8,5955,c,ship,low,m,1
4,3,6,6,4998,d,ship,medium,m,0
3,3,3,8,4950,f,ship,medium,f,0
4,2,6,8,5227,c,road,low,m,0
3,4,2,5,4693,c,flight,low,f,1
4,1,2,5,5324,a,road,low,m,1
6,4,3,7,5192,b,ship,low,f,1
3,4,2,1,5745,b,ship,medium,m,0
5,3,2,3,4456,c,flight,low,m,0
3,3,3,9,1257,f,ship,medium,m,1
2,1,3,3,5922,f,ship,medium,f,0
4,3,3,7,5156,f,road,low,m,1
3,2,4,38,1322,c,ship,medium,f,1
3,3,2,36,3340,b,ship,high,m,1
3,1,2,1,4970,b,ship,low,f,1
5,3,4,6,5107,b,ship,low,m,0
4,1,3,5,4782,c,ship,high,m,0
5,5,3,27,2019,a,ship,medium,f,1
5,4,5,2,1409,a,ship,low,m,0
5,2,4,6,5486,a,ship,low,m,0
6,5,4,6,1761,c,ship,high,f,0
3,2,4,49,3179,b,flight,medium,f,1
6,4,4,1,1872,a,ship,medium,f,0
6,2,4,10,1556,f,ship,low,m,0
4,3,2,10,5709,f,ship,high,m,1
3,5,4,3,5215,f,ship,medium,f,1
3,1,3,8,3617,f,ship,low,f,1
6,1,5,14,3213,a,ship,low,m,1
5,2,3,17,3889,d,flight,low,m,1
4,5,3,3,4430,d,ship,medium,f,1
5,3,3,58,3411,d,ship,low,m,1
5,1,4,4,1837,c,ship,medium,m,0
4,5,4,5,4643,a,ship,low,f,0
2,5,3,13,2171,d,ship,medium,f,1
3,2,3,15,1862,c,road,low,m,1
5,1,3,8,5845,c,ship,low,m,0
2,4,3,3,4811,f,ship,medium,m,0
6,3,4,3,5756,a,ship,low,m,0
3,5,2,2,4906,f,flight,low,f,1
6,1,4,6,1866,f,flight,low,f,1
4,5,3,6,5154,f,ship,low,m,1
4,1,2,7,5967,b,ship,medium,f,0
5,5,5,4,1667,d,flight,low,f,0
3,1,2,9,4626,a,ship,low,m,1
4,1,2,2,4581,a,road,medium,m,1
5,3,3,4,4446,d,ship,medium,f,1
3,4,2,37,2537,f,ship,low,f,1
3,2,4,8,4867,a,ship,medium,m,1
5,2,3,5,4972,c,ship,high,m,0
4,1,3,2,4983,c,ship,medium,m,0
6,4,4,5,1327,b,ship,low,f,0
6,3,4,2,1189,c,road,low,f,0
4,1,3,53,2021,c,ship,low,f,1
4,5,8,39,1411,a,ship,low,m,1
5,2,2,4,3617,d,ship,low,f,1
4,2,3,22,1294,f,ship,low,m,1
5,2,2,2,4075,a,road,low,m,0
3,2,2,7,5141,d,ship,low,m,1
4,4,5,9,1947,a,ship,low,m,1
4,1,2,17,3544,a,flight,low,m,1
6,1,3,10,1278,b,flight,medium,m,1
4,1,3,3,4673,c,ship,low,f,1
3,1,3,7,5331,b,road,medium,m,0
4,3,4,19,3838,d,flight,low,f,1
6,4,3,14,1651,b,road,medium,f,1
6,1,4,8,1806,f,ship,medium,m,1
3,1,2,2,4352,f,ship,high,m,0
4,2,3,5,5978,f,ship,medium,f,0
4,5,3,3,5857,a,road,medium,m,1
4,2,3,4,4743,c,ship,medium,m,1
3,4,3,8,5867,d,road,medium,m,1
4,3,3,10,4068,c,road,low,f,0
7,1,4,3,1450,c,flight,medium,f,0
5,3,5,7,1349,f,ship,low,m,0
2,5,7,12,1064,b,road,low,m,1
4,1,3,2,4282,b,ship,low,m,0
6,3,4,8,1850,d,ship,medium,f,1
3,1,6,3,2497,d,ship,medium,f,1
4,2,3,2,5769,b,ship,medium,m,0
3,2,2,5,5393,d,ship,low,f,1
3,5,7,16,1052,b,ship,medium,f,1
4,3,3,1,4914,c,road,low,f,1
7,4,4,9,1228,f,ship,low,f,0
2,2,3,20,1823,d,ship,low,f,1
5,1,5,6,1059,b,ship,medium,f,1
4,3,3,35,1512,f,road,low,f,1
3,3,2,19,3097,f,road,low,m,1
5,1,3,6,4735,c,ship,medium,f,0
7,2,4,1,1085,a,flight,low,f,1
4,1,2,8,5276,f,flight,medium,f,1
3,3,3,7,4068,a,ship,medium,f,1
4,4,3,10,4347,c,flight,low,m,1
3,5,3,4,4081,d,road,medium,m,1
5,2,5,4,1072,a,ship,low,f,1
5,4,2,1,5008,d,ship,low,f,1
2,5,8,14,1396,f,ship,low,m,1
2,2,3,1,4149,b,road,high,f,0
3,3,3,1,5896,a,ship,medium,f,1
3,4,2,58,1319,a,ship,medium,f,1
4,1,3,61,3812,a,road,medium,f,1
4,5,4,65,1818,d,ship,low,m,1
5,5,5,3,1687,c,road,medium,f,0
4,2,3,4,4186,f,ship,medium,f,1
3,4,2,1,4427,f,flight,medium,f,0
3,5,3,8,4523,a,road,medium,f,0
3,1,3,11,1481,d,ship,low,f,1
6,3,4,8,1741,c,road,medium,f,0
4,1,4,2,4053,d,flight,low,m,0
5,5,3,1,4314,b,ship,medium,m,0
5,4,2,1,3709,d,ship,medium,f,1
4,4,3,10,4533,c,road,low,f,0
3,3,3,7,4439,c,ship,low,f,0
4,2,2,9,4334,a,ship,low,m,0
3,1,2,10,4412,f,flight,medium,f,1
3,3,2,1,5220,f,ship,medium,f,1
6,1,5,8,4292,a,flight,low,f,1
4,2,5,9,1438,c,road,medium,f,0
4,3,3,9,5994,c,ship,low,f,1
4,3,3,2,4351,d,flight,medium,f,0
3,3,6,5,5777,b,ship,low,m,1
5,5,4,3,5447,a,road,low,m,0
3,2,2,7,5357,d,ship,medium,m,0
5,3,3,4,4134,c,road,low,m,1
3,2,2,58,1537,b,ship,low,f,1
2,1,3,5,5982,a,road,low,f,1
6,3,4,5,1490,c,flight,low,f,1
4,4,3,27,3967,a,road,high,f,1
3,2,2,8,5492,b,ship,low,f,0
5,4,2,2,5962,b,road,medium,f,0
3,2,8,9,4908,c,flight,low,f,0
3,4,2,9,5841,f,ship,medium,f,0
7,2,4,6,1513,b,flight,medium,f,0
4,5,3,16,2332,d,ship,low,m,1
6,3,4,4,1716,f,ship,medium,m,0
6,1,4,2,1326,b,ship,medium,m,1
4,5,6,1,1625,d,ship,low,f,0
5,2,3,63,1807,c,ship,medium,m,1
3,1,3,4,4495,c,flight,medium,f,1
4,3,2,52,1570,c,road,high,f,1
7,4,3,33,1694,b,ship,low,f,1
5,3,4,9,1729,f,ship,low,m,0
4,2,5,38,3022,b,ship,high,f,1
4,4,2,10,4508,f,ship,low,f,1
4,3,2,10,4195,f,ship,low,f,0
3,2,3,8,5783,f,road,medium,m,0
4,5,3,4,4809,d,ship,medium,f,0
4,1,2,2,5396,f,road,high,m,0
3,1,5,4,1171,b,ship,low,m,1
4,1,2,65,1861,f,ship,high,f,1
3,5,2,8,5241,f,road,medium,f,1
4,3,3,57,3599,c,ship,medium,m,1
5,5,5,10,5418,c,flight,low,f,1
4,5,5,2,1996,c,flight,low,m,0
4,4,3,2,5572,a,road,low,m,1
2,3,3,10,5997,a,road,low,m,0
4,2,4,7,5507,c,flight,low,m,1
4,1,4,22,3950,c,ship,low,f,1
3,1,4,18,1613,c,ship,low,m,1
5,1,2,37,1671,d,ship,low,m,1
4,2,2,1,4977,f,ship,low,f,0
4,4,2,3,4407,f,ship,medium,f,0
4,5,2,19,1940,d,ship,medium,f,1
